country,Region,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,Adults (ages 15-49) newly infected with HIV,Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Arms exports (SIPRI trend indicator values),Arms imports (SIPRI trend indicator values),"Automated teller machines (ATMs) (per 100,000 adults)",Average transaction cost of sending remittances from a specific country (%),Average transaction cost of sending remittances to a specific country (%),Bank capital to assets ratio (%),Bank liquid reserves to bank assets ratio (%),Bank nonperforming loans to total gross loans (%),"Charges for the use of intellectual property, payments (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)","Commercial bank branches (per 100,000 adults)","Computer, communications and other services (% of commercial service exports)","Computer, communications and other services (% of commercial service imports)",Consumer price index (2010 = 100),Domestic credit provided by financial sector (% of GDP),Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),"Employment to population ratio, 15+, female (%) (national estimate)","Employment to population ratio, 15+, male (%) (national estimate)","Employment to population ratio, 15+, total (%) (national estimate)","Employment to population ratio, ages 15-24, female (%) (national estimate)","Employment to population ratio, ages 15-24, male (%) (national estimate)","Employment to population ratio, ages 15-24, total (%) (national estimate)",Final consumption expenditure (% of GDP),Final consumption expenditure (annual % growth),Final consumption expenditure (constant 2010 US$),Final consumption expenditure (constant LCU),Final consumption expenditure (current LCU),Final consumption expenditure (current US$),Fixed broadband subscriptions,Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions,Fixed telephone subscriptions (per 100 people),GDP (constant 2010 US$),GDP growth (annual %),GDP per capita (constant 2010 US$),GNI (constant 2010 US$),GNI growth (annual %),GNI per capita (constant 2010 US$),High-technology exports (current US$),Human capital index (HCI) (scale 0-1),Individuals using the Internet (% of population),"Labor force, total",Military expenditure (% of GDP),Population density (people per sq. km of land area),Population growth (annual %),"Population, female","Population, male","Population, total",Ratio of female to male labor force participation rate (%) (national estimate),"Total reserves (includes gold, current US$)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Women Business and the Law Index Score (scale 1-100)
Saudi Arabia,WesternAsia,1000,1000,39.26546726,4.87214582,34.39332144,,2466000000,,4.803345,,14.43490361,,2.182905505,,,,14.83690618,32.32728108,122.479242,,,,,,,,,,71.52409976,-2.529766623,3.84468E+11,1.44176E+12,1.87782E+12,5.00753E+11,7890261,22.66413005,5749058,16.51369938,6.75042E+11,-4.106583412,19390.01893,6.8728E+11,-3.248486269,19741.54832,,0.576390505,97.8623325,14455587,8.447598946,16.19483135,1.57883733,14682559,20131308,34813867,,4.72851E+11,8.22,29343564,80
Singapore,South-easternAsia,100,100,34.50390716,17.95834779,16.54555936,,74000000,54.0070504,3.311032,,,,,16848008987,8280173221,7.02,48.42314387,57.75032524,114.1976627,,132.6782008,132.6782008,57.72999954,71.68000031,64.5,28.63999939,33.00999832,30.92000008,45.42503995,,,,2.13087E+11,1.54444E+11,1517600,25.94036383,1891600,32.33315249,3.2039E+11,-5.391021406,56349.02942,,,,1.61271E+11,0.879125714,75.87596245,3472519,3.201533596,8019.473907,-0.311904961,2709673,2976134,5685807,,3.69834E+11,5.19,5685807,82.5
South Africa,SouthernAfrica,230000,200000,52.23147889,8.387100219,43.84437867,37000000,,58.58794064,15.048613,8.142315,7.886974554,3.197033055,5.180283295,1398011406,98004301.41,9.22,33.78091341,42.56241805,164.0515915,,,69.26468321,30.4,41.5,35.78,6.85,10.12,8.49,82.44426112,-3.947363476,3.42264E+11,2.50578E+12,4.10076E+12,2.48919E+11,1303057,2.19707601,2098802,3.538776527,4.00229E+11,-6.959604452,6748.234355,3.92282E+11,-6.089760656,6614.243106,1837384291,0.425453395,,21742744,1.074193443,48.89059344,1.273356263,30092678,29216012,59308690,76.74094708,55008491996,28.74,39946775,88.125
Spain,SouthernEurope,3500,3200,52.38577873,30.44303919,21.94273953,1201000000,57000000,103.4016712,5.029116,,6.498059856,,2.851226662,5063616548,2949863121,45.53,55.59562479,60.6289487,110.6034784,,108.5425845,107.4844566,42.62,53.47,47.9,16.57,20.25,18.46,78.05068744,-8.183420121,1.06379E+12,8.35249E+11,8.75493E+11,9.99985E+11,15850358,33.9010443,19455779,41.61238665,1.40162E+12,-10.83894734,29600.35238,,,,15731961265,0.728255033,93.20564609,22799921,1.402053417,94.77829717,0.461546667,24079931,23271636,47351567,83.1507732,81287702461,15.67,38264801,97.5
Sri Lanka,SouthernAsia,200,200,53.65162543,17.25946867,36.39215676,,,,,4.481574,8.551351841,,4.928274959,,,,,,165.1000451,,,,,,,,,,81.12093956,-2.366154105,66831550399,7.55628E+12,1.21462E+13,65469952390,1992429,9.304655263,2428957,11.34324362,84293528650,-3.569076137,3845.683136,81961423699,-3.355477512,3739.286633,83151757,0.598324299,35,8552779,1.933104238,354.309453,0.53062656,11409149,10509851,21919000,,5663994385,4.84,4101702,65.625
Sweden,NorthernEurope,,,61.16654504,32.76323212,28.40331292,286000000,3000000,,7.925322,,6.261697309,7.921359073,0.513361451,9208813608,8371844622,13.8,75.59473861,74.44140334,111.0588566,,141.1114452,141.1088602,64.56,69.77,67.21,40.07,39.17,39.6,71.10064257,-3.166340138,4.07058E+11,3.16819E+12,3.52059E+12,3.82244E+11,4101078,40.60768779,1624271,16.08306149,5.80499E+11,-2.817819572,56068.25646,5.98507E+11,-2.617143786,57807.49226,17805945123,0.795357108,94.53943122,5477192,1.221397332,25.41907147,0.722703913,5167175,5186267,10353442,92.50887107,58260344659,8.45,9108648,100
Switzerland,WesternEurope,,,51.64421034,28.96031955,22.68389079,179000000,10000000,93.95590295,8.252569,,8.125798347,,0.748812316,17961440465,23123129868,37.03,54.64093858,76.25452609,98.82431041,,,,59.39,69.97,64.6,59.4,59.44,59.42,63.0044514,-3.124229048,4.269E+11,4.3609E+11,4.42432E+11,4.71254E+11,4023000,46.48383257,2952000,34.10894202,6.92095E+11,-2.870251911,80132.42559,,,,29236830495,0.756115139,,4959300,0.778520639,218.5668955,0.715961343,4352040,4284856,8636896,85.17509197,1.0834E+12,4.94,6383962,85.625
Thailand,South-easternAsia,6600,6500,41.86456271,18.3824378,23.48212492,,132000000,,13.312291,7.700715,11.14,21.70200695,3.23,4503700128,225348106.9,,41.11675915,46.80564308,112.3074938,194.125135,160.2671108,125.0334274,58.54,74.59,66.28,31.21,44.82,38.11,70.57274521,,,,1.10821E+13,3.5413E+11,11599513,16.6182187,5003000,7.167624036,4.25391E+11,-6.087220285,6094.432873,,,,45968349192,0.609310985,77.8437476,38483357,1.473849739,136.6242792,0.250165167,35833918,33966060,69799978,78.47010473,2.58104E+11,1.02,35898129,78.125
Tunisia,NorthernAfrica,500,500,49.61914184,13.27563081,36.34351103,,15000000,,,8.694098,,7.423595593,,,,,,,164.0766398,,,71.23010791,,,,,,,,,,,,,1334551,11.2919369,1533273,12.97336855,47084697907,-8.600310283,3983.942785,,,,,0.51680994,,4107933,2.90774447,76.07246395,1.053854127,5957866,5860752,11818618,,9810630875,16.69,8221976,67.5
Turkey,WesternAsia,,,49.08267183,13.38921267,35.69345916,141000000,86000000,,11.114839,7.256607,10.5451143,15.01273419,3.89009244,2086000000,130000000,,20.15793127,39.84012273,263.2235613,98.25504393,75.05909443,70.90582529,26.26,59.77,42.84,19.23,38.78,29.2,71.98942618,3.015246626,9.51274E+11,1.33704E+12,3.63396E+12,5.18397E+11,16734853,19.84235016,12448604,14.760187,1.28411E+12,1.756650763,15225.6146,1.26904E+12,2.255320027,15046.93657,4196985792,0.649261832,77.66956038,32317036,2.772472019,109.583913,1.084193952,42702942,41636125,84339067,45.24647887,93511562720,13.92,64186247,82.5
Uganda,EasternAfrica,38000,31000,92.31354613,3.81876993,88.4947762,,13000000,,,10.90573,13.37170648,22.42062775,5.215867517,,,,,,180.4686791,27.18026699,14.3482093,13.10620753,,,,,,,81.01854573,3.406432064,36486306857,1.0346E+14,1.12487E+14,30278277288,34596,0.075634539,90774,0.198452124,43828692210,2.857581274,958.1926982,43083691420,3.873808356,941.9053239,11771659,0.384176582,,16514595,2.597144665,228.111909,3.269713347,23194411,22546589,45741000,,,2.44,11414209,73.125
Ukraine,EasternEurope,9300,8500,49.11943575,25.27446563,23.84497012,115000000,18000000,93.73922775,,6.367748,11.65846222,20.78118603,41.00409554,495000000,74000000,0.41,63.54440357,28.16068924,289.3548945,,,21.0178906,,,,,,,93.54095346,0.483386475,1.41452E+11,2.49646E+12,3.9232E+12,1.45533E+11,7769401,18.61701348,3314263,7.941626251,1.30073E+11,-4.020317714,3115.860766,1.32113E+11,-5.375085406,3164.73082,1248167887,0.631387115,,19461889,4.129198321,76.17309803,-0.568251539,23685780,20448913,44134693,,29137541200,9.48,30721277,79.375
United Arab Emirates,WesternAsia,100,100,19.15896211,1.506655343,17.65230677,191000000,432000000,52.48522651,4.099206,,,14.6088466,8.154957712,,,7.98,,,112.1432311,,,,,,,,,,,,,,,,3245123,32.81083014,2380866,24.07248967,,,,,,,,0.673011899,100,6820222,,139.2621797,1.219428682,3054051,6836349,9890400,,1.06702E+11,5,8609395,82.5
United States of America,NorthernAmerica,,,53.85248134,25.587092,28.26538933,9372000000,687000000,,5.140987,,11.0208874,15.44238571,1.065369146,40682000000,1.14045E+11,29.69,57.82672229,52.10463816,118.6905016,280.4969055,216.3345332,54.35277638,51.51,62.39,56.77,45.32,46.41,45.86,,,,,,,120531000,36.41390775,103052000,31.13328539,1.77094E+13,-3.486139557,53748.97143,,,,1.43489E+11,0.701764345,,165163504,3.741160091,36.01935005,0.350911063,166449500,163034623,329484123,83.06237068,6.2837E+11,8.31,272364755,91.25
Viet Nam,South-easternAsia,6100,5300,45.05377171,11.40994617,33.64382555,,41000000,26.26473753,,7.233685,,,,,,4.01,,,168.7837215,,,,60.43,73.72,66.94,41.25,48.35,44.91,75.15596733,1.055764322,1.50651E+11,2.80406E+15,4.72967E+15,2.03792E+11,16699249,17.15583808,3205775,3.293426957,2.06694E+11,2.905835584,2123.45606,1.95192E+11,3.629829512,2005.292045,1.01537E+11,0.689964533,70.2900004,56542377,,313.9245428,0.904517906,48740329,48598254,97338583,82.65550239,94833616150,2.27,36346227,81.875
